"","acquCnt1","acquCnt2","acquCnt3","acquCnt4","acquCnt5","grdNm","jmNm","quart","rank","rgnnm","stdYy","totcnt"
"1","0","0","0","14","28","기능장","전기기능장","3사분기","1","서울특별시","2017","42"
"2","0","0","0","14","10","기능장","전자기기기능장","3사분기","2","서울특별시","2017","24"
"3","0","0","0","4","14","기능장","조리기능장","3사분기","3","서울특별시","2017","18"
"4","0","0","0","3","10","기능장","제과기능장","3사분기","4","서울특별시","2017","13"
"5","0","0","0","10","2","기능장","용접기능장","3사분기","5","서울특별시","2017","12"
"6","0","0","0","1","7","기능장","미용장","3사분기","6","서울특별시","2017","8"
"7","0","0","0","4","3","기능장","귀금속가공기능장","3사분기","7","서울특별시","2017","7"
"8","0","0","0","5","1","기능장","기계가공기능장","3사분기","8","서울특별시","2017","6"
"9","0","0","0","4","1","기능장","이용장","3사분기","9","서울특별시","2017","5"
"10","0","0","0","2","0","기능장","건축일반시공기능장","3사분기","10","서울특별시","2017","2"
